=====================================================
           VERBOS REGULARES EN INGLES
=====================================================

INFINITIVO        | PASADO SIMPLE / PARTICIPIO | SIGNIFICADO
------------------|----------------------------|---------------------------

A
Accept            | Accepted                   | Aceptar
Achieve           | Achieved                   | Lograr, Conseguir
Act               | Acted                      | Actuar
Add               | Added                      | Añadir, Sumar
Admire            | Admired                    | Admirar
Admit             | Admitted                   | Admitir
Advise            | Advised                    | Aconsejar
Agree             | Agreed                     | Estar De Acuerdo
Allow             | Allowed                    | Permitir
Answer            | Answered                   | Responder
Appear            | Appeared                   | Aparecer
Apply             | Applied                    | Aplicar, Solicitar
Arrive            | Arrived                    | Llegar
Ask               | Asked                      | Preguntar, Pedir
Attend            | Attended                   | Asistir, Atender

B
Bake              | Baked                      | Hornear
Believe           | Believed                   | Creer
Belong            | Belonged                   | Pertenecer
Borrow            | Borrowed                   | Pedir Prestado
Brush             | Brushed                    | Cepillar

C
Call              | Called                     | Llamar
Cancel            | Cancelled                  | Cancelar
Care              | Cared                      | Importar, Cuidar
Carry             | Carried                    | Llevar, Cargar
Celebrate         | Celebrated                 | Celebrar
Change            | Changed                    | Cambiar
Check             | Checked                    | Revisar, Comprobar
Clean             | Cleaned                    | Limpiar
Clear             | Cleared                    | Aclarar, Despejar
Climb             | Climbed                    | Escalar, Subir
Close             | Closed                     | Cerrar
Collect           | Collected                  | Coleccionar, Recoger
Colour            | Coloured                   | Colorear
Comb              | Combed                     | Peinar
Comment           | Commented                  | Comentar
Compare           | Compared                   | Comparar
Complain          | Complained                 | Quejarse
Complete          | Completed                  | Completar
Concentrate       | Concentrated               | Concentrarse
Confirm           | Confirmed                  | Confirmar
Connect           | Connected                  | Conectar
Consider          | Considered                 | Considerar
Contain           | Contained                  | Contener
Continue          | Continued                  | Continuar
Control           | Controlled                 | Controlar
Cook              | Cooked                     | Cocinar
Copy              | Copied                     | Copiar
Correct           | Corrected                  | Corregir
Count             | Counted                    | Contar
Cover             | Covered                    | Cubrir
Create            | Created                    | Crear
Cross             | Crossed                    | Cruzar
Cry               | Cried                      | Llorar

D
Dance             | Danced                     | Bailar
Decide            | Decided                    | Decidir
Decorate          | Decorated                  | Decorar
Deliver           | Delivered                  | Entregar
Demand            | Demanded                   | Exigir, Demandar
Depend            | Depended                   | Depender
Describe          | Described                  | Describir
Deserve           | Deserved                   | Merecer
Design            | Designed                   | Dise�ar
Desire            | Desired                    | Desear
Destroy           | Destroyed                  | Destruir
Develop           | Developed                  | Desarrollar
Disappear         | Disappeared                | Desaparecer
Discover          | Discovered                 | Descubrir
Discuss           | Discussed                  | Discutir
Divide            | Divided                    | Dividir
Download          | Downloaded                 | Descargar
Dream             | Dreamed                    | So�ar
Dress             | Dressed                    | Vestir
Drop              | Dropped                    | Dejar Caer
Dry               | Dried                      | Secar

E
Earn              | Earned                     | Ganar (Dinero)
Edit              | Edited                     | Editar
Educate           | Educated                   | Educar
Email             | Emailed                    | Enviar Email
Employ            | Employed                   | Emplear
Empty             | Emptied                    | Vaciar
Encourage         | Encouraged                 | Animar, Alentar
End               | Ended                      | Terminar
Enjoy             | Enjoyed                    | Disfrutar
Enter             | Entered                    | Entrar
